geometry,condition,sample_size,repeat,fine_clusters,effective_clusters
refolded,3.x.x.x,25,12,25,24.999999999999986
refolded,3.x.x.x,25,13,25,24.999999999999986
refolded,3.x.x.x,25,14,25,24.999999999999986
refolded,3.x.x.x,25,15,25,24.999999999999986
refolded,3.x.x.x,25,16,25,24.999999999999986
refolded,3.x.x.x,25,17,25,24.999999999999986
refolded,3.x.x.x,25,18,25,24.999999999999986
refolded,3.x.x.x,25,19,25,24.999999999999986
refolded,3.x.x.x,50,0,50,49.99999999999997
refolded,3.x.x.x,50,1,50,49.99999999999997
refolded,3.x.x.x,50,2,50,49.99999999999997
refolded,3.x.x.x,50,3,50,49.99999999999997
refolded,3.x.x.x,50,4,50,49.99999999999997
refolded,3.x.x.x,50,5,50,49.99999999999997
refolded,3.x.x.x,50,6,50,49.99999999999997
refolded,3.x.x.x,50,7,50,49.99999999999997
refolded,3.x.x.x,50,8,50,49.99999999999997
refolded,3.x.x.x,50,9,50,49.99999999999997
refolded,3.x.x.x,50,10,50,49.99999999999997
refolded,3.x.x.x,50,11,50,49.99999999999997
refolded,3.x.x.x,50,12,50,49.99999999999997
refolded,3.x.x.x,50,13,50,49.99999999999997
refolded,3.x.x.x,50,14,50,49.99999999999997
refolded,3.x.x.x,50,15,50,49.99999999999997
refolded,3.x.x.x,50,16,50,49.99999999999997
refolded,3.x.x.x,50,17,50,49.99999999999997
refolded,3.x.x.x,50,18,50,49.99999999999997
refolded,3.x.x.x,50,19,50,49.99999999999997
refolded,3.x.x.x,100,0,100,99.99999999999987
refolded,3.x.x.x,100,1,100,99.99999999999987
refolded,3.x.x.x,100,2,100,99.99999999999987
refolded,3.x.x.x,100,3,100,99.99999999999987
refolded,3.x.x.x,100,4,100,99.99999999999987
refolded,3.x.x.x,100,5,100,99.99999999999987
refolded,3.x.x.x,100,6,100,99.99999999999987
refolded,3.x.x.x,100,7,100,99.99999999999987
refolded,3.x.x.x,100,8,100,99.99999999999987
refolded,3.x.x.x,100,9,100,99.99999999999987
refolded,3.x.x.x,100,10,100,99.99999999999987
refolded,3.x.x.x,100,11,100,99.99999999999987
refolded,3.x.x.x,100,12,100,99.99999999999987
refolded,3.x.x.x,100,13,100,99.99999999999987
refolded,3.x.x.x,100,14,100,99.99999999999987
refolded,3.x.x.x,100,15,100,99.99999999999987
refolded,3.x.x.x,100,16,100,99.99999999999987
refolded,3.x.x.x,100,17,100,99.99999999999987
refolded,3.x.x.x,100,18,100,99.99999999999987
refolded,3.x.x.x,100,19,100,99.99999999999987
refolded,3.x.x.x,200,0,200,200.0000000000001
refolded,3.x.x.x,200,1,200,200.0000000000001
refolded,3.x.x.x,200,2,200,200.0000000000001
refolded,3.x.x.x,200,3,200,200.0000000000001
refolded,3.x.x.x,200,4,200,200.0000000000001
refolded,3.x.x.x,200,5,200,200.0000000000001
refolded,3.x.x.x,200,6,200,200.0000000000001
refolded,3.x.x.x,200,7,200,200.0000000000001
refolded,3.x.x.x,200,8,200,200.0000000000001
refolded,3.x.x.x,200,9,200,200.0000000000001
refolded,3.x.x.x,200,10,200,200.0000000000001
refolded,3.x.x.x,200,11,200,200.0000000000001
refolded,3.x.x.x,200,12,200,200.0000000000001
refolded,3.x.x.x,200,13,200,200.0000000000001
refolded,3.x.x.x,200,14,200,200.0000000000001
refolded,3.x.x.x,200,15,200,200.0000000000001
refolded,3.x.x.x,200,16,200,200.0000000000001
refolded,3.x.x.x,200,17,200,200.0000000000001
refolded,3.x.x.x,200,18,200,200.0000000000001
refolded,3.x.x.x,200,19,200,200.0000000000001
refolded,3.x.x.x,208,0,208,207.99999999999997
refolded,3.x.x.x,208,1,208,207.99999999999997
refolded,3.x.x.x,208,2,208,207.99999999999997
refolded,3.x.x.x,208,3,208,207.99999999999997
refolded,3.x.x.x,208,4,208,207.99999999999997
refolded,3.x.x.x,208,5,208,207.99999999999997
refolded,3.x.x.x,208,6,208,207.99999999999997
refolded,3.x.x.x,208,7,208,207.99999999999997
refolded,3.x.x.x,208,8,208,207.99999999999997
refolded,3.x.x.x,208,9,208,207.99999999999997
refolded,3.x.x.x,208,10,208,207.99999999999997
refolded,3.x.x.x,208,11,208,207.99999999999997
refolded,3.x.x.x,208,12,208,207.99999999999997
refolded,3.x.x.x,208,13,208,207.99999999999997
refolded,3.x.x.x,208,14,208,207.99999999999997
refolded,3.x.x.x,208,15,208,207.99999999999997
refolded,3.x.x.x,208,16,208,207.99999999999997
refolded,3.x.x.x,208,17,208,207.99999999999997
refolded,3.x.x.x,208,18,208,207.99999999999997
refolded,3.x.x.x,208,19,208,207.99999999999997
refolded,unconditional,25,0,25,24.999999999999986
refolded,unconditional,25,1,25,24.999999999999986
refolded,unconditional,25,2,25,24.999999999999986
refolded,unconditional,25,3,25,24.999999999999986
refolded,unconditional,25,4,25,24.999999999999986
refolded,unconditional,25,5,25,24.999999999999986
refolded,unconditional,25,6,25,24.999999999999986
refolded,unconditional,25,7,25,24.999999999999986
refolded,unconditional,25,8,25,24.999999999999986
refolded,unconditional,25,9,25,24.999999999999986
refolded,unconditional,25,10,25,24.999999999999986
refolded,unconditional,25,11,25,24.999999999999986
refolded,unconditional,25,12,25,24.999999999999986
refolded,unconditional,25,13,25,24.999999999999986
refolded,unconditional,25,14,25,24.999999999999986
refolded,unconditional,25,15,25,24.999999999999986
refolded,unconditional,25,16,25,24.999999999999986
refolded,unconditional,25,17,25,24.999999999999986
refolded,unconditional,25,18,25,24.999999999999986
refolded,unconditional,25,19,25,24.999999999999986
refolded,unconditional,50,0,50,49.99999999999997
refolded,unconditional,50,1,50,49.99999999999997
refolded,unconditional,50,2,50,49.99999999999997
refolded,unconditional,50,3,50,49.99999999999997
refolded,unconditional,50,4,50,49.99999999999997
refolded,unconditional,50,5,50,49.99999999999997
refolded,unconditional,50,6,50,49.99999999999997
refolded,unconditional,50,7,50,49.99999999999997
refolded,unconditional,50,8,50,49.99999999999997
refolded,unconditional,50,9,50,49.99999999999997
refolded,unconditional,50,10,50,49.99999999999997
refolded,unconditional,50,11,50,49.99999999999997
refolded,unconditional,50,12,50,49.99999999999997
refolded,unconditional,50,13,50,49.99999999999997
refolded,unconditional,50,14,50,49.99999999999997
refolded,unconditional,50,15,50,49.99999999999997
refolded,unconditional,50,16,50,49.99999999999997
refolded,unconditional,50,17,50,49.99999999999997
refolded,unconditional,50,18,50,49.99999999999997
refolded,unconditional,50,19,50,49.99999999999997
refolded,unconditional,100,0,100,99.99999999999987
refolded,unconditional,100,1,100,99.99999999999987
refolded,unconditional,100,2,100,99.99999999999987
refolded,unconditional,100,3,100,99.99999999999987
refolded,unconditional,100,4,100,99.99999999999987
refolded,unconditional,100,5,100,99.99999999999987
refolded,unconditional,100,6,100,99.99999999999987
refolded,unconditional,100,7,100,99.99999999999987
refolded,unconditional,100,8,100,99.99999999999987
refolded,unconditional,100,9,100,99.99999999999987
refolded,unconditional,100,10,100,99.99999999999987
refolded,unconditional,100,11,100,99.99999999999987
refolded,unconditional,100,12,100,99.99999999999987
refolded,unconditional,100,13,100,99.99999999999987
refolded,unconditional,100,14,100,99.99999999999987
refolded,unconditional,100,15,100,99.99999999999987
refolded,unconditional,100,16,100,99.99999999999987
refolded,unconditional,100,17,100,99.99999999999987
refolded,unconditional,100,18,100,99.99999999999987
refolded,unconditional,100,19,100,99.99999999999987
refolded,unconditional,200,0,200,200.0000000000001
refolded,unconditional,200,1,200,200.0000000000001
refolded,unconditional,200,2,200,200.0000000000001
refolded,unconditional,200,3,200,200.0000000000001
refolded,unconditional,200,4,200,200.0000000000001
refolded,unconditional,200,5,200,200.0000000000001
refolded,unconditional,200,6,200,200.0000000000001
refolded,unconditional,200,7,200,200.0000000000001
refolded,unconditional,200,8,200,200.0000000000001
refolded,unconditional,200,9,200,200.0000000000001
refolded,unconditional,200,10,200,200.0000000000001
refolded,unconditional,200,11,200,200.0000000000001
refolded,unconditional,200,12,200,200.0000000000001
refolded,unconditional,200,13,200,200.0000000000001
refolded,unconditional,200,14,200,200.0000000000001
refolded,unconditional,200,15,200,200.0000000000001
refolded,unconditional,200,16,200,200.0000000000001
refolded,unconditional,200,17,200,200.0000000000001
refolded,unconditional,200,18,200,200.0000000000001
refolded,unconditional,200,19,200,200.0000000000001
refolded,unconditional,231,0,231,230.99999999999972
refolded,unconditional,231,1,231,230.99999999999972
refolded,unconditional,231,2,231,230.99999999999972
refolded,unconditional,231,3,231,230.99999999999972
refolded,unconditional,231,4,231,230.99999999999972
refolded,unconditional,231,5,231,230.99999999999972
refolded,unconditional,231,6,231,230.99999999999972
refolded,unconditional,231,7,231,230.99999999999972
refolded,unconditional,231,8,231,230.99999999999972
refolded,unconditional,231,9,231,230.99999999999972
refolded,unconditional,231,10,231,230.99999999999972
refolded,unconditional,231,11,231,230.99999999999972
refolded,unconditional,231,12,231,230.99999999999972
refolded,unconditional,231,13,231,230.99999999999972
refolded,unconditional,231,14,231,230.99999999999972
refolded,unconditional,231,15,231,230.99999999999972
refolded,unconditional,231,16,231,230.99999999999972
refolded,unconditional,231,17,231,230.99999999999972
refolded,unconditional,231,18,231,230.99999999999972
refolded,unconditional,231,19,231,230.99999999999972
