format,run,checkpoint_step,cv1_equivalent_step,schedule_fraction,n_rollouts,range,cut,mean_precision,n_proteins,sem
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,all,AUC,0.586337357339825,554,0.003995629964672655
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,all,L,0.02297780668498498,554,0.0009262412698351376
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,all,L/2,0.024054825289417454,554,0.0011646604430847827
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,all,L/5,0.02461158677258702,554,0.0015025988842389153
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,all,R,0.023909721043197434,554,0.001116396512241465
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,long,AUC,0.5622150952595278,553,0.004319897027848889
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,long,L,0.019660991174707904,554,0.0011503056669309349
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,long,L/2,0.020058247088075586,554,0.0014299106422009848
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,long,L/5,0.02128103635522782,554,0.0017457585707086733
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,long,R,0.019942336141874944,553,0.0013473646585403748
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,medium,AUC,0.5081396805536419,553,0.003267921103425143
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,medium,L,0.021066106738961844,554,0.0009071677984993306
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,medium,L/2,0.021713006062409473,554,0.0011816647281017445
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,medium,L/5,0.022347563384083745,554,0.0015021399715079147
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,medium,R,0.022113385170549844,553,0.001494973016376215
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,short,AUC,0.5235741193418394,554,0.0036994991336520497
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,short,L,0.023465271478781663,554,0.0006957212614744974
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,short,L/2,0.02306763823404237,554,0.0008585475326632063
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,short,L/5,0.023823578220810205,554,0.001294089609148184
contacts_v1,exp177,10000,10000.0,0.14013649294412758,100,short,R,0.024871914294558484,554,0.0018080497708399226
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,all,AUC,0.599529415093339,554,0.004200680365667716
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,all,L,0.024491476214552558,554,0.0009261570778689039
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,all,L/2,0.025011635363207104,554,0.0011424056086665885
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,all,L/5,0.026471177864222883,554,0.001537235541149723
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,all,R,0.024963574790155037,554,0.0010849050954388913
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,long,AUC,0.5750867175298298,553,0.004640086094259031
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,long,L,0.02134576437370945,554,0.001230705378769013
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,long,L/2,0.021539531324818624,554,0.0014715504670663345
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,long,L/5,0.02060605834129063,554,0.0018767015043455397
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,long,R,0.02227859145572705,553,0.001523583878646243
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,medium,AUC,0.5170238314296206,553,0.003546529039156834
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,medium,L,0.021642266877062877,554,0.0009395567414765288
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,medium,L/2,0.022253609428850834,554,0.0011428910823937796
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,medium,L/5,0.021559234977414164,554,0.0013607097432280506
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,medium,R,0.02132229145192228,553,0.0013885471771843765
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,short,AUC,0.5377333522566541,554,0.003895559831524506
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,short,L,0.02528892911485252,554,0.0007055445041494067
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,short,L/2,0.02547796044041183,554,0.0009315732769968685
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,short,L/5,0.026097125992893103,554,0.001423865896804867
contacts_v1,exp177,20000,20000.0,0.28027298588825517,100,short,R,0.027601899872624572,554,0.0019085321520544293
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,all,AUC,0.8935949295861908,554,0.003864846339854364
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,all,L,0.3702440917567144,554,0.008789365861930368
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,all,L/2,0.49802646841845366,554,0.011240485980721481
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,all,L/5,0.6242979222276219,554,0.011694148431330525
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,all,R,0.4112398436437792,554,0.009759163206713216
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,long,AUC,0.8639693378851202,553,0.004778543561708744
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,long,L,0.22966832149909336,554,0.006221222674852906
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,long,L/2,0.3430581989479632,554,0.010391628594987174
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,long,L/5,0.4756779069326598,554,0.01394611690437117
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,long,R,0.34671175108635394,553,0.010660873523279431
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,medium,AUC,0.9309651260534385,553,0.0031977229532903907
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,medium,L,0.1581448800819456,554,0.0038817652741394474
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,medium,L/2,0.2655111112340667,554,0.007004210812733952
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,medium,L/5,0.4366164735687196,554,0.011232923449109646
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,medium,R,0.4553644900505704,553,0.01063488834583821
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,short,AUC,0.9463655567912195,554,0.0026363269382318213
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,short,L,0.11397524069925502,554,0.002566946802282968
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,short,L/2,0.2037499467641875,554,0.0048311936368580525
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,short,L/5,0.3930169647679205,554,0.009252957561743151
contacts_v1,exp177,30000,30000.0,0.4204094788323827,100,short,R,0.5473265342604456,554,0.010048161340006951
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,all,AUC,0.9065799396171945,554,0.0038849091439900553
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,all,L,0.4074418649036012,554,0.009252734784448859
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,all,L/2,0.5459347481142095,554,0.011826633402322258
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,all,L/5,0.6610409150443636,554,0.01188230111862756
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,all,R,0.4538394470977971,554,0.010372006432273045
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,long,AUC,0.8808333392378586,553,0.004785052678858488
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,long,L,0.2559112691975975,554,0.0065599353031334275
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,long,L/2,0.3897499229981436,554,0.01092871469306198
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,long,L/5,0.5257045848384636,554,0.014058948698343733
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,long,R,0.395457154070189,553,0.01117025222160407
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,medium,AUC,0.9395174537741585,553,0.0030446516436947423
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,medium,L,0.16290822537422742,554,0.0038733435209699694
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,medium,L/2,0.2791968117449186,554,0.007093395384515216
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,medium,L/5,0.47414884408941865,554,0.011615655144329785
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,medium,R,0.49407295249628824,553,0.011118407170463038
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,short,AUC,0.9519168078902627,554,0.002606796922797261
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,short,L,0.1154188155532755,554,0.0025761462772040194
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,short,L/2,0.20920070024141324,554,0.004880132050710526
contacts_v1,exp177,40000,40000.0,0.5605459717765103,100,short,L/5,0.41327280794892646,554,0.00953449212450653
