issue,project,run_id,run_name,run_url,state,created_at,finished_at,sweep_subversion,sweep_version,data_subversion,model_size,num_params,num_params_source,num_tokens,num_tokens_source,epochs,epochs_source,weight_decay,weight_decay_source,learning_rate,learning_rate_source,batch_size,batch_size_source,val_loss,val_loss_key,summary_step,tags_json
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr8.75e-5-wd0p02-v1-fa1de7,prot-exp75-cv1-1_5b-e1-lr8.75e-5-wd0p02-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr8.75e-5-wd0p02-v1-fa1de7,finished,2026-06-13T03:27:21Z,2026-06-14T14:42:02Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.02,config:optimizer.weight_decay,8.75e-05,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.152651786804199,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=2"",""lr=8.75e-05"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v5p-8"",""unmasked"",""wd=0.02""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr8.75e-5-wd0p05-v1-505c39,prot-exp75-cv1-1_5b-e1-lr8.75e-5-wd0p05-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr8.75e-5-wd0p05-v1-505c39,finished,2026-06-13T03:28:47Z,2026-06-13T21:40:50Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.05,config:optimizer.weight_decay,8.75e-05,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.15350341796875,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=2"",""lr=8.75e-05"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v6e-8"",""unmasked"",""wd=0.05""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr8.75e-5-wd0p1-v1-f2f1ac,prot-exp75-cv1-1_5b-e1-lr8.75e-5-wd0p1-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr8.75e-5-wd0p1-v1-f2f1ac,finished,2026-06-13T03:28:47Z,2026-06-14T07:21:04Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.1,config:optimizer.weight_decay,8.75e-05,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.1521432399749756,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=2"",""lr=8.75e-05"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v6e-8"",""unmasked"",""wd=0.1""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr1.75e-4-wd0p02-v1-96b358,prot-exp75-cv1-1_5b-e1-lr1.75e-4-wd0p02-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr1.75e-4-wd0p02-v1-96b358,finished,2026-06-13T03:28:13Z,2026-06-14T00:23:23Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.02,config:optimizer.weight_decay,0.000175,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.11247181892395,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=1"",""lr=0.000175"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v5p-32"",""unmasked"",""wd=0.02""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr1.75e-4-wd0p05-v1-fca902,prot-exp75-cv1-1_5b-e1-lr1.75e-4-wd0p05-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr1.75e-4-wd0p05-v1-fca902,finished,2026-06-13T03:28:24Z,2026-06-14T06:51:00Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.05,config:optimizer.weight_decay,0.000175,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.1156561374664307,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=2"",""lr=0.000175"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v5p-8"",""unmasked"",""wd=0.05""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr1.75e-4-wd0p1-v1-a59e67,prot-exp75-cv1-1_5b-e1-lr1.75e-4-wd0p1-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr1.75e-4-wd0p1-v1-a59e67,finished,2026-06-13T03:27:49Z,2026-06-14T06:07:23Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.1,config:optimizer.weight_decay,0.000175,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.113382339477539,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=2"",""lr=0.000175"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v5p-8"",""unmasked"",""wd=0.1""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr3.5e-4-wd0p02-v1-b0a900,prot-exp75-cv1-1_5b-e1-lr3.5e-4-wd0p02-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr3.5e-4-wd0p02-v1-b0a900,finished,2026-06-13T03:28:47Z,2026-06-13T21:51:49Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.02,config:optimizer.weight_decay,0.00035,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.062325954437256,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=2"",""lr=0.00035"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v6e-8"",""unmasked"",""wd=0.02""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr3.5e-4-wd0p05-v1-ba8f16,prot-exp75-cv1-1_5b-e1-lr3.5e-4-wd0p05-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr3.5e-4-wd0p05-v1-ba8f16,finished,2026-06-13T03:27:23Z,2026-06-13T21:41:26Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.05,config:optimizer.weight_decay,0.00035,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.070493698120117,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=2"",""lr=0.00035"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v6e-8"",""unmasked"",""wd=0.05""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr3.5e-4-wd0p1-v1-94a9d4,prot-exp75-cv1-1_5b-e1-lr3.5e-4-wd0p1-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr3.5e-4-wd0p1-v1-94a9d4,finished,2026-06-13T03:28:46Z,2026-06-13T21:49:43Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.1,config:optimizer.weight_decay,0.00035,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.066227912902832,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=2"",""lr=0.00035"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v6e-8"",""unmasked"",""wd=0.1""]"
75,eric-czech/marin,prot-exp75-cv1-1_5b-e1-lr7e-4-wd0p02-v1-b11859,prot-exp75-cv1-1_5b-e1-lr7e-4-wd0p02-v1,https://wandb.ai/eric-czech/marin/runs/prot-exp75-cv1-1_5b-e1-lr7e-4-wd0p02-v1-b11859,finished,2026-06-13T03:28:22Z,2026-06-14T12:22:14Z,1,v1,,1_5b,1471369216,tag:params_exact,4676648960,tag:tokens_exact,1,tag:epochs,0.02,config:optimizer.weight_decay,0.0007,config:optimizer.learning_rate,128,config:trainer.train_batch_size,3.084441900253296,eval/contacts-v1-val/loss,4459,"[""1_5b"",""contacts-v1"",""epochs=1"",""exp75"",""grad_accum=4"",""lr=0.0007"",""params=1.471B"",""params_exact=1471369216"",""protein"",""qwen3"",""steps=4460"",""sweep=v1"",""tokens=4.677B"",""tokens_exact=4676648960"",""tpu=v6e-4"",""unmasked"",""wd=0.02""]"
