seq_len,num_contacts,num_tokens,num_predicted,sequence_nats,structure_nats,nats_per_token
351,202,1316,1315,1721.7156,1022.9472,2.087196
370,378,1882,1881,1833.7071,2136.7799,2.110838
195,130,788,787,847.3521,605.7007,1.846319
157,88,586,585,650.4097,373.9882,1.751108
161,102,636,635,670.7476,444.6178,1.756481
151,73,529,528,620.0917,293.4611,1.730214
98,84,456,455,363.7394,344.8578,1.557357
177,34,464,463,753.0552,113.9942,1.872677
212,189,999,998,937.9212,936.9587,1.878637
134,123,645,644,535.4969,557.4457,1.697116
165,41,461,460,691.1834,145.8419,1.81962
328,229,1351,1350,1587.5193,1172.285,2.044299
117,46,380,379,453.0249,163.8817,1.627722
214,199,1033,1032,948.6671,986.6914,1.875347
563,159,1611,1610,3019.394,764.0664,2.349975
243,160,974,973,1106.4782,762.4674,1.920807
69,38,260,259,234.7017,126.1155,1.393117
92,35,297,296,336.2612,112.6282,1.516518
298,271,1417,1416,1414.9058,1431.1672,2.009939
722,676,3480,3479,4047.6004,4195.38,2.369353
814,451,2989,2988,4659.0734,2597.2129,2.428476
534,214,1718,1717,2836.3571,1084.1582,2.283352
196,101,703,702,852.6404,433.9829,1.832797
218,192,1020,1019,970.2142,949.0925,1.88352
201,107,731,730,879.1568,475.5645,1.855782
51,9,137,136,160.3311,19.567,1.32278
110,92,504,503,419.7508,388.0977,1.606061
271,278,1384,1383,1262.1098,1483.5765,1.985312
229,120,826,825,1029.839,534.1643,1.895762
105,57,389,388,396.2488,222.7484,1.595354
575,144,1590,1589,3095.573,677.6827,2.37461
190,176,916,915,820.9872,857.2336,1.834121
91,38,304,303,331.7179,131.101,1.527455
476,371,2073,2072,2475.0778,2092.9931,2.204667
413,439,2151,2150,2090.6689,2527.2259,2.147858
220,217,1099,1098,981.015,1103.2612,1.898248
1107,866,4820,4819,6670.8609,5588.705,2.544006
1121,827,4731,4730,6769.1122,5305.0471,2.552676
549,501,2609,2608,2930.8408,2953.6339,2.256317
177,114,704,703,753.0552,504.7246,1.78916
147,117,653,652,600.0095,524.8674,1.725271
121,72,466,465,472.2244,284.9549,1.628343
463,269,1741,1740,2395.0375,1420.7957,2.193008
713,386,2592,2591,3988.3872,2184.5348,2.382448
286,14,622,621,1346.6833,34.8206,2.224644
267,114,884,883,1239.694,505.5989,1.976549
86,35,285,284,309.1642,119.1519,1.508155
481,453,2329,2328,2505.9572,2631.8347,2.206955
261,177,1061,1060,1206.1818,867.4084,1.956217
104,29,303,302,391.576,91.7944,1.600564
361,302,1636,1635,1780.5346,1636.2262,2.089762
242,254,1254,1253,1100.9769,1340.0012,1.948107
213,121,797,796,943.2918,549.8444,1.875799
162,102,638,637,675.8475,441.7193,1.754422
104,37,327,326,391.576,122.4705,1.57683
585,593,2957,2956,3159.2462,3612.1305,2.290723
666,508,2864,2863,3681.0357,3004.0307,2.334987
231,148,914,913,1040.7368,689.7107,1.895342
275,244,1290,1289,1284.5841,1280.2309,1.989771
217,120,802,801,964.8206,549.1919,1.890153
209,102,732,731,921.8373,446.2459,1.871523
169,106,664,663,711.7147,460.4086,1.767908
113,69,441,440,433.9593,269.3619,1.598457
222,163,941,940,991.8338,779.1406,1.884015
271,58,724,723,1262.1098,224.7756,2.05655
73,54,316,315,251.8904,198.799,1.43076
273,305,1469,1468,1273.3397,1659.4944,1.997843
117,100,542,541,453.0249,434.4989,1.640525
442,446,2230,2229,2266.5131,2600.4405,2.18347
837,701,3785,3784,4813.6099,4384.7926,2.430867
296,341,1623,1622,1403.5016,1877.1184,2.022577
303,112,950,949,1443.4745,500.8929,2.048859
354,253,1475,1474,1739.332,1316.5847,2.073214
399,324,1778,1777,2006.4947,1783.6569,2.132893
405,329,1805,1804,2042.5105,1816.0934,2.138916
256,136,928,927,1178.3593,625.3785,1.94578
246,95,785,784,1123.0063,401.3619,1.944347
132,54,434,433,525.679,199.9569,1.675833
228,199,1061,1060,1024.3966,1003.7206,1.913318
77,34,264,263,269.2911,109.526,1.440369
468,506,2462,2461,2425.7798,3013.4971,2.21019
266,64,732,731,1234.0993,248.7748,2.028556
152,38,426,425,625.1287,130.4302,1.777786
199,181,949,948,868.5353,897.6623,1.863078
50,32,204,203,156.3608,101.8396,1.271923
403,156,1282,1281,2030.4954,753.3494,2.173181
120,59,425,424,467.4122,226.0705,1.635572
122,31,345,344,477.0447,98.8579,1.674135
119,65,441,440,462.6082,252.5617,1.625386
170,101,651,650,716.8622,433.3766,1.769598
119,47,387,386,462.6082,171.967,1.643977
196,87,661,660,852.6404,369.0678,1.851073
346,288,1564,1563,1692.4117,1550.4065,2.07474
432,386,2030,2029,2205.657,2200.9202,2.171798
270,208,1172,1171,1256.5003,1054.8379,1.973816
168,173,863,862,706.5731,839.6044,1.793709
308,124,996,995,1472.1249,563.1204,2.045473
103,40,334,333,386.9125,144.6889,1.596401
362,362,1818,1817,1786.4318,2028.9909,2.099847
125,61,441,440,491.5534,235.8606,1.653214
198,108,728,727,863.232,477.375,1.844026
97,57,373,372,359.1342,214.3329,1.541578
50,22,174,173,156.3608,64.269,1.275317
95,5,213,212,349.9541,7.8774,1.687885
103,77,445,444,386.9125,313.1298,1.576672
74,74,378,377,256.2211,298.5332,1.471497
185,105,693,692,794.7522,455.7993,1.807155
169,84,598,597,711.7147,355.9063,1.78831
198,104,716,715,863.232,465.5263,1.858403
168,2,350,349,706.5731,1.7329,2.02953
133,76,502,501,530.5843,309.5866,1.676988
417,228,1526,1525,2114.806,1176.0515,2.157939
261,232,1226,1225,1206.1818,1187.5004,1.954026
167,86,600,599,701.4373,365.4384,1.781095
72,21,215,214,247.5729,61.539,1.444448
316,117,991,990,1518.1326,530.5786,2.069405
234,153,935,934,1057.1155,717.1441,1.899636
281,178,1104,1103,1318.4034,872.7823,1.986569
389,435,2091,2090,1946.6682,2531.6138,2.142719
120,64,440,439,467.4122,244.9446,1.622681
152,85,567,566,625.1287,353.0967,1.728313
158,105,639,638,655.4849,458.0539,1.745359
938,1012,4920,4919,5499.469,6709.2523,2.481952
469,421,2209,2208,2431.9347,2421.7206,2.198213
708,677,3455,3454,3955.5398,4218.9567,2.366675
199,187,967,966,868.5353,918.1045,1.849524
143,7,315,314,580.0343,13.8558,1.89137
68,19,201,200,230.439,53.1925,1.418158
83,86,432,431,295.7666,361.3556,1.524645
1190,915,5133,5132,7255.859,5968.2914,2.576802
136,116,628,627,545.3442,524.3221,1.706007
110,73,447,446,419.7508,293.8824,1.600074
148,109,631,630,605.0201,483.8894,1.728428
183,132,770,769,784.2954,625.5143,1.833303
243,124,866,865,1106.4782,562.3739,1.929309
54,16,164,163,172.3528,41.5307,1.312169
149,103,615,614,610.0374,449.9496,1.726363
156,66,518,517,645.3408,254.1476,1.739823
115,103,547,546,443.4751,440.7016,1.619371
336,172,1196,1195,1634.0202,834.8096,2.065966
210,150,878,877,927.1939,710.2296,1.867074
160,82,574,573,665.6539,331.1927,1.739697
495,431,2291,2290,2592.6926,2496.4586,2.222337
271,217,1201,1200,1262.1098,1096.5031,1.965511
171,156,818,817,722.0155,747.6549,1.798862
378,213,1403,1402,1881.1543,1086.9064,2.117019
203,227,1095,1094,889.7979,1160.2966,1.873944
147,44,434,433,600.0095,158.1938,1.751047
253,224,1186,1185,1161.7121,1139.2666,1.941754
239,111,819,818,1084.4977,492.3278,1.92766
70,20,208,207,238.9784,57.6882,1.433172
194,106,714,713,842.0689,460.6071,1.827035
185,129,765,764,794.7522,589.9128,1.812389
302,236,1320,1319,1437.7541,1224.0629,2.018057
91,61,373,372,331.7179,241.7756,1.541649
125,84,510,509,491.5534,357.5563,1.668192
69,21,209,208,234.7017,60.3923,1.418721
128,128,648,647,506.1328,594.2841,1.700799
177,147,803,802,753.0552,695.2358,1.805849
1251,1219,6167,6166,7689.5055,8293.9968,2.5922
281,391,1743,1742,1318.4034,2203.6382,2.021838
345,162,1184,1183,1686.5595,768.3833,2.075184
72,13,191,190,247.5729,32.1235,1.472086
93,38,308,307,340.8151,129.8603,1.533145
954,840,4436,4435,5609.147,5396.3309,2.481506
354,270,1526,1525,1739.332,1443.3708,2.087018
200,132,804,803,873.8436,606.4896,1.843503
191,82,636,635,826.2499,346.9087,1.847494
620,422,2514,2513,3383.4243,2430.9855,2.313733
580,496,2656,2655,3127.3881,2917.8205,2.276915
299,289,1473,1472,1420.613,1542.13,2.012733
516,253,1799,1798,2723.5313,1331.9224,2.255536
268,189,1111,1110,1245.2924,939.672,1.968436
392,193,1371,1370,1964.5896,962.6273,2.136655
442,304,1804,1803,2266.5131,1654.4597,2.174694
471,507,2471,2470,2444.2508,3020.8421,2.212588
379,288,1630,1629,1887.0971,1550.6933,2.110369
133,120,634,633,530.5843,545.5801,1.700102
202,228,1096,1095,884.4749,1177.7395,1.883301
197,171,915,914,857.9337,844.8603,1.863013
358,312,1660,1659,1762.8597,1705.0937,2.090388
210,166,926,925,927.1939,800.2887,1.867549
488,147,1425,1424,2549.275,689.4983,2.274419
590,428,2472,2471,3191.1468,2454.2024,2.284642
195,176,926,925,847.3521,859.6934,1.845455
305,45,753,752,1454.9249,160.2721,2.147868
130,83,517,516,515.8908,350.9462,1.679917
783,784,3926,3925,4451.8136,4993.2436,2.406384
423,125,1229,1228,2151.0831,576.5215,2.221176
610,357,2299,2298,3319.1676,1983.3643,2.307455
469,257,1717,1716,2431.9347,1352.5021,2.205383
689,448,2730,2729,3831.0427,2612.4309,2.361112
518,357,2115,2114,2736.037,2006.1334,2.243222
286,66,778,777,1346.6833,266.1865,2.075766
353,295,1599,1598,1733.457,1594.581,2.082627
144,126,674,673,585.0179,577.0114,1.726641
484,334,1978,1977,2524.5096,1852.8144,2.214124
97,53,361,360,359.1342,198.6284,1.549341
78,41,287,286,273.6731,143.3587,1.458153
164,147,777,776,686.0654,688.0013,1.770705
114,83,485,484,438.7129,346.6361,1.622622
200,101,711,710,873.8436,435.1097,1.843596
442,384,2044,2043,2266.5131,2164.5071,2.168879
170,58,522,521,716.8622,221.538,1.801152
108,94,506,505,410.3228,395.2864,1.595266
268,271,1357,1356,1245.2924,1435.1754,1.976746
270,170,1058,1057,1256.5003,825.3113,1.969547
549,482,2552,2551,2930.8408,2841.2935,2.262695
196,100,700,699,852.6404,432.4723,1.838502
240,88,752,751,1089.9867,366.8645,1.939882
177,173,881,880,753.0552,846.0875,1.817208
240,162,974,973,1089.9867,766.8303,1.908342
1174,931,5149,5148,7142.6259,6089.4283,2.570329
107,34,324,323,405.6223,104.8487,1.580406
131,78,504,503,520.7812,322.6463,1.676794
60,31,221,220,196.8662,98.5274,1.342698
49,1,109,108,152.4096,0.6931,1.417618
192,152,848,847,831.5178,718.9489,1.830539
262,145,967,966,1211.7578,666.9162,1.944797
171,97,641,640,722.0155,416.3752,1.778735
342,329,1679,1678,1669.0202,1796.2756,2.065135
192,115,737,736,831.5178,513.2541,1.827136
241,234,1192,1191,1095.4797,1209.754,1.935545
150,31,401,400,615.0613,101.0344,1.790239
800,760,3888,3887,4565.3237,4819.503,2.414414
264,49,683,682,1222.921,178.7651,2.055258
130,114,610,609,515.8908,500.6753,1.669238
286,249,1327,1326,1346.6833,1298.4947,1.994855
53,38,228,227,168.3274,122.4786,1.281084
233,124,846,845,1051.6517,563.8361,1.91182
250,162,994,993,1145.1001,783.2125,1.941906
337,190,1252,1251,1639.8462,942.1932,2.06398
105,32,314,313,396.2488,103.3989,1.596319
840,634,3590,3589,4833.8137,3915.1531,2.437717
123,67,455,454,481.873,264.9176,1.644913
87,63,371,370,313.6528,251.8535,1.528396
122,63,441,440,477.0447,249.214,1.650588
681,670,3380,3379,3778.7783,4156.4497,2.348395
232,150,922,921,1046.1921,703.3473,1.899609
175,90,628,627,742.686,380.0802,1.790696
497,370,2112,2111,2605.1159,2064.3639,2.211975
146,68,504,503,595.0055,261.4032,1.702602
571,537,2761,2760,3070.152,3207.9693,2.274682
171,166,848,847,722.0155,792.8969,1.788562
553,567,2815,2814,2956.1059,3432.4108,2.270262
164,200,936,935,686.0654,1007.5593,1.811363
158,86,582,581,655.4849,360.9869,1.749521
154,119,673,672,635.2219,532.9442,1.738342
1261,1261,6313,6312,7760.8822,8598.5637,2.591801
201,190,980,979,879.1568,936.3051,1.854404
373,421,2017,2016,1851.4799,2416.4344,2.117021
177,135,767,766,753.0552,619.7113,1.792123
365,123,1107,1106,1804.1396,558.2805,2.136004
78,21,227,226,273.6731,62.0088,1.485318
259,224,1198,1197,1195.0413,1145.5107,1.955348
151,116,658,657,620.0917,523.2992,1.740321
405,385,1973,1972,2042.5105,2182.2195,2.142358
71,69,357,356,243.2688,270.606,1.443469
122,53,411,410,477.0447,196.2076,1.642079
131,82,516,515,520.7812,341.5911,1.674509
464,451,2289,2288,2401.1817,2641.4354,2.203941
283,287,1435,1434,1329.7049,1538.2118,1.999942
311,250,1380,1379,1489.3539,1307.8408,2.028423
121,119,607,606,472.2244,539.0792,1.668818
232,140,892,891,1046.1921,645.5754,1.898729
166,151,793,792,696.3074,717.2925,1.784848
197,100,702,701,857.9337,433.7981,1.842699
578,648,3108,3107,3114.6569,3978.577,2.282985
339,347,1727,1726,1651.507,1949.9203,2.086574
112,92,508,507,429.2144,388.9373,1.613711
149,38,420,419,610.0374,129.0049,1.763824
123,107,575,574,481.873,473.5714,1.664537
193,146,832,831,836.7908,688.1359,1.83505
